"","ID.medlyn","file.medlyn","variable.medlyn","model.medlyn","deviance_SS.medlyn","numIter.medlyn","BIC.medlyn","k25.medlyn","Ea.medlyn","delS.medlyn","Hd.medlyn","minT.medlyn","maxT.medlyn","ID.new","file.new","variable.new","model.new","deviance_SS.new","numIter.new","BIC.new","k25.new","Ea.new","delS.new","Hd.new","minT.new","maxT.new"
"1","1_elevated","WTC2_ACidata_processed.csv","Jmax","Medlyn",499.815693605992,27,52.5209394353067,136.04237709164,35.1177609647432,0.255622006823716,79.7735121982954,16.9972727272727,40.3132142857143,"1_elevated","WTC2_ACidata_processed.csv","Jmax","New",509.214194586677,13,52.6327153844984,136.239723728893,35.1177609647432,0.240571081636144,74.5107609930394,16.9972727272727,40.3132142857143
"2","10_ambient","WTC2_ACidata_processed.csv","Jmax","Medlyn",998.993743151602,2,48.7231279096339,131.80765003022,3.82035607720131,0.729638410326041,234.043987822519,22.0347166,41.3567857142857,"10_ambient","WTC2_ACidata_processed.csv","Jmax","New",1195.09557194593,34,49.619292520504,131.801336637637,1.30896257601613,0.00642418556934183,0.0329283669762183,22.0347166,41.3567857142857
"3","107_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",71.5527194702137,7,35.5415578982948,92.3227179571174,35.7184259037442,1.31902053270356,413.657256513137,20.0287152707143,39.9496755583333,"107_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",71.6845859069946,18,35.5507640526334,92.316336733549,33.2470675897765,1.31507900591725,412.415673396039,20.0287152707143,39.9496755583333
"4","109_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",3.7374779770107,6,20.7814405633509,101.633431770549,40.7099428309089,0.865902860459874,272.586762964092,20.7740471169231,39.7841266,"109_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",3.75855961398242,5,20.8095643451454,101.629434347761,38.244388740338,0.864008835085094,271.983571530459,20.7740471169231,39.7841266
"5","118_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",31.7728861765828,23,31.4824517826909,134.528937554226,46.0851066107017,0.486564352297685,153.965025029676,19.9896046325,39.9227291992308,"118_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",31.818092874906,21,31.4895607636521,134.528253730623,43.6611855582675,0.485503026515972,153.613328778137,19.9896046325,39.9227291992308
"6","119_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",1.64506921405591,5,16.6782976257773,83.3892111265018,44.2371595094352,0.833735491024869,263.030549720286,20.7106982883333,39.9954217776923,"119_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",1.65645821560554,6,16.7127939217143,83.3859344805707,41.7722081800603,0.831609271447126,262.352879913206,20.7106982883333,39.9954217776923
"7","12_ambient","WTC2_ACidata_processed.csv","Jmax","Medlyn",56.0007293926746,19,39.3876912223451,152.151408577781,36.3372986824421,0.74010878058533,232.91029422607,17.0190909090909,40.9240740740741,"12_ambient","WTC2_ACidata_processed.csv","Jmax","New",56.2267649416334,6,39.4118602574936,152.148059922922,33.8963994230403,0.738341009424401,232.342550542576,17.0190909090909,40.9240740740741
"8","132_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",31.8116854181675,76,31.4885537733825,141.620525000585,44.6026461502989,0.35177486702392,112.472913104635,20.0274799658333,39.931180635,"132_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",31.7839461587639,22,31.4841919547363,141.617148896704,42.1765046088293,0.351392038009629,112.328739948821,20.0274799658333,39.931180635
"9","135_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",15.7835829093466,20,27.9842370493925,102.463729150784,94.4640987920962,0.247369969550965,69.5250574086133,22.223416901,40.0275885266667,"135_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",15.9660467432039,13,28.0417072765011,102.476754637361,94.4640987920962,0.255675292727521,71.8656884260103,22.223416901,40.0275885266667
"10","163_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",9.50117145508077,17,25.4464608423739,116.640423765119,93.6339958818392,0.263088286969859,75.9795193948579,20.0578041066667,39.9709701553846,"163_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",9.43461838434708,52,25.411313988009,116.684717414317,93.6339958818392,0.270640259019304,78.0750431601584,20.0578041066667,39.9709701553846
"11","189_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",0.868429988223031,17,13.4840437878272,108.0875484709,35.6079691304894,1.95419133023673,615.801109152695,20.0120600075,39.9642882723077,"189_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",0.890249975022982,28,13.6081204076446,108.078317783933,33.1291983580483,1.91271918110056,602.79993655698,20.0120600075,39.9642882723077
"12","190_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",44.5449568393775,16,33.1718800582983,107.86847552526,38.9500302412579,0.777887693425262,247.450744493415,19.9602355958333,39.9460560730769,"190_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","New",44.4602586558356,78,33.1623639632429,107.861916798407,36.4768895593125,0.775170159922838,246.581789386888,19.9602355958333,39.9460560730769
