,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
1122,23.27618203,200,0.627171566,153.4927854,2045.726808,83.16634642,Jmax,Old,20,20.79044514,200,0.627215948,153.4864827,2045.598193,83.16578058,Jmax,New,20
198,33.48223111,232.9475368,0.740956827,161.9394934,3378.88035,129.7329584,Jmax,Old,21,31.02944477,232.6108886,0.739918572,161.9313637,3378.536475,129.7315335,Jmax,New,21
1123,36.33594958,200,0.637319667,163.3993017,3409.32004,127.2194597,Jmax,Old,21,33.86828959,200,0.63734449,163.3831618,3408.591049,127.2164659,Jmax,New,21
214,16.75800468,7520.670625,23.92820839,127.7688672,6934.610525,156.4160398,Jmax,Old,22,14.2479961,7501.046173,23.86576606,127.7393032,6937.074904,156.4217248,Jmax,New,22
1124,25.04666876,200,0.630811923,130.9241483,7527.321765,154.9556817,Jmax,Old,22,22.56948888,200,0.630845096,130.9079388,7525.356903,154.9515047,Jmax,New,22
2461,125.103799,252.304833,0.83070989,140.7947027,1253.210483,41.27165832,Jmax,Old,23,115.7278946,258.5648232,0.849653536,140.649632,1212.390596,41.13920018,Jmax,New,23
1125,99.80281938,200,0.658983464,149.9390421,1758.971065,41.24144545,Jmax,Old,23,97.27996269,200,0.658984414,149.9512582,1759.855597,41.24345642,Jmax,New,23
1824,657.7727973,648.0661177,2.180126449,97.43396879,953.7562391,63.99617604,Jmax,Old,24,643.1535287,636.0448445,2.139778181,97.43522836,953.8282059,63.99670421,Jmax,New,24
1126,51.55877207,200,0.635837302,105.0503708,1223.781457,63.79531531,Jmax,Old,24,49.07350721,200,0.635859401,105.0497128,1223.969095,63.79638851,Jmax,New,24
1127,72.36163977,200,0.642323158,40.9011548,1.87E-27,-175.0225077,Jmax,Old,25,69.88763677,200,0.642341194,40.9011548,3.23E-27,-173.3786122,Jmax,New,25
220,40.53416387,268.3552699,0.86694137,44.39911088,510.4625215,97.43193086,Jmax,Old,26,38.07772254,268.2303899,0.866555696,44.39807652,510.4235823,97.43093915,Jmax,New,26
1128,47.66651902,200,0.647925005,44.81973149,516.28021,95.01430324,Jmax,Old,26,45.21561693,200,0.647943105,44.81887192,516.2421982,95.01334606,Jmax,New,26
1884,51.60708838,153.4265049,0.492581552,124.0944088,18.46831612,28.76966844,Jmax,Old,27,49.20995505,153.304743,0.492240443,124.0972423,18.38358879,28.7466771,Jmax,New,27
1129,46.16227385,200,0.638647822,121.3569566,36.24876553,30.53197405,Jmax,Old,27,43.7200592,200,0.638678527,121.3386009,36.43678087,30.55784106,Jmax,New,27
2481,72.28744534,130.7233579,0.430381298,155.619524,385.2930293,57.65134829,Jmax,Old,28,69.88462792,130.8492966,0.430813639,155.625244,385.0555531,57.64703249,Jmax,New,28
1130,45.20346845,200,0.641690703,143.0134111,858.7079649,61.31541127,Jmax,Old,28,42.77561313,200,0.641722826,142.9993441,859.9492442,61.3255226,Jmax,New,28
68,63.55388367,126.1997775,0.403470908,206.8487593,3.23E-27,-231.2500049,Jmax,Old,29,61.13362738,126.194956,0.403500456,206.8487593,3.23E-27,-231.2500049,Jmax,New,29
1131,50.8712337,200,0.632234822,202.7482457,30.81106474,25.06300375,Jmax,Old,29,48.38688729,200,0.63226163,202.7284458,31.10358975,25.10080122,Jmax,New,29
228,208.2822712,221.899549,0.751166142,307.9231861,3.34E-25,-212.701392,Jmax,Old,30,205.4540374,221.6746751,0.75037068,307.8523331,9.37E-26,-217.7808216,Jmax,New,30
1132,58.82111635,200,0.641892774,249.9187193,1809.905883,41.35562876,Jmax,Old,30,56.37821945,200,0.641920108,249.8964359,1810.302565,41.35650536,Jmax,New,30
244,35.87025933,219.047255,0.707946232,162.8674716,1702.438072,105.9379782,Jmax,Old,31,33.4174104,219.0324696,0.707918269,162.8647159,1702.798389,105.9405177,Jmax,New,31
