,DOY,Location,plant_C_ medlyn_W1_fix,photo_medlyn_W1_fix,AR_medlyn_W1_fix,plant_C_new_W1_fix,photo_new_W1_fix,AR_new_W1_fix,plant_C_medlyn_W12_fix,photo_medlyn_W12_fix,AR_medlyn_W12_fix,plant_C_new_W12_fix,photo_new_W12_fix,AR_new_W12_fix,plant_C_ medlyn_W1_var,photo_medlyn_W1_var,AR_medlyn_W1_var,plant_C_ new_W1_var,photo_new_W1_var,AR_new_W1_var,plant_C_ medlyn_W12_var,photo_medlyn_W12_var,AR_medlyn_W12_var,plant_C_ new_W12_var,photo_new_W12_var,AR_new_W12_var
204,Aug_19,London,0.099376389,0.135599978,3.743416462,0.09936235,0.135585939,3.743028902,0.120990896,0.230366556,2.10619581,0.120967046,0.230342706,2.105977753,0.056944527,0.093168116,2.572028872,0.056943305,0.093166894,2.57199514,0.048904735,0.158280394,1.447126305,0.048902659,0.158278318,1.447107326
205,May_17,Albuquerque,0.079528801,0.107191559,3.874941174,0.079522584,0.107185342,3.874716443,0.098937667,0.182104382,2.189630582,0.098927106,0.182093821,2.189503592,0.056410953,0.08407371,3.039238223,0.056411004,0.084073762,3.039240073,0.059663479,0.142830194,1.717396125,0.059663566,0.142830281,1.717397171
206,May_17,London,0.083014681,0.102705202,5.215971781,0.083035169,0.10272569,5.217012321,0.115459951,0.174482651,2.956195708,0.115494759,0.174517459,2.956785443,0.076834195,0.096524716,4.902090521,0.07683527,0.09652579,4.902145085,0.104960118,0.163982818,2.778300874,0.104961943,0.163984643,2.778331799
207,May_18,Albuquerque,0.103830571,0.135445722,4.284202937,0.103828754,0.135443905,4.284145472,0.135389918,0.230104495,2.429451748,0.135386831,0.230101409,2.429419161,0.062544477,0.094159628,2.978307097,0.062544846,0.094159996,2.978318758,0.065250266,0.159964843,1.688914715,0.065250892,0.159965469,1.688921328
208,May_18,London,0.091480586,0.109313862,6.129769148,0.091502197,0.109335472,6.130980959,0.131549112,0.185709897,3.428862731,0.131585825,0.18574661,3.429540592,0.076888049,0.094721325,5.311493393,0.076904444,0.09473772,5.312412723,0.106758308,0.160919093,2.971136645,0.10678616,0.160946945,2.971650899
209,May_19,Albuquerque,0.070630463,0.093983051,4.024523865,0.07063758,0.093990169,4.024828656,0.08966761,0.159664863,2.281016136,0.089679702,0.159676955,2.281188885,0.055749495,0.079102084,3.387293988,0.055762557,0.079115146,3.38785334,0.064386801,0.134384054,1.91984754,0.064408992,0.134406245,1.92016457
210,May_19,London,0.09903832,0.126280095,4.635531048,0.099026549,0.126268324,4.635098934,0.131313431,0.2145333,2.577909618,0.131293433,0.214513301,2.57766931,0.060179948,0.087421723,3.209105203,0.060178694,0.087420469,3.209059183,0.065298159,0.148518028,1.784646264,0.065296029,0.148515898,1.784620671
211,Oct_17,Albuquerque,0.070533147,0.10421379,3.09417465,0.070524019,0.104204662,3.09390363,0.076329519,0.177045544,1.757868659,0.076314011,0.177030036,1.757714687,0.02716282,0.060843462,1.806481644,0.027162945,0.060843588,1.806485373,0.002649027,0.103365053,1.026301946,0.002649241,0.103365266,1.026304065
212,Oct_17,London,0.037580247,0.050464585,3.916738564,0.037615327,0.050499665,3.91946124,0.047674617,0.085732704,2.252680353,0.047734213,0.0857923,2.254246278,0.008752422,0.02163676,1.679307043,0.008814514,0.021698852,1.684126215,-0.001300072,0.036758015,0.965839798,-0.001194586,0.0368635,0.968611506
213,Oct_18,Albuquerque,0.077186602,0.105060591,3.769126492,0.077172882,0.105046872,3.768634286,0.095428975,0.178484149,2.148982915,0.095405667,0.178460841,2.148702281,0.047809443,0.075683432,2.71519915,0.047809478,0.075683467,2.715200409,0.045521039,0.128576213,1.548081922,0.045521099,0.128576272,1.54808264
